Num,Date,Artist,Single
Reached number one,Artist(s),Single,Record label
227,"January 3, 1970",B. J. Thomas,"""Raindrops Keep Fallin' On My Head"""
228,"January 31, 1970",The Jackson 5,"""I Want You Back"""
229,"February 7, 1970",Shocking Blue,"""Venus"""
230,"February 14, 1970",Sly & the Family Stone,"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star"""
231,"February 28, 1970",Simon & Garfunkel,"""Bridge Over Troubled Water""♪(1970)"
232,"April 11, 1970",The Beatles,"""Let It Be"""
233,"April 25, 1970",The Jackson 5,"""ABC"""
234,"May 9, 1970",The Guess Who,"""American Woman"" / ""No Sugar Tonight"""
235,"May 30, 1970",Ray Stevens,"""Everything Is Beautiful"""
236,"June 13, 1970",The Beatles,"""The Long and Winding Road"" / ""For You Blue"""
237,"June 27, 1970",The Jackson 5,"""The Love You Save"""
238,"July 11, 1970",Three Dog Night,"""Mama Told Me (Not to Come)"""
239,"July 25, 1970",The Carpenters,"""(They Long to Be) Close to You"""
240,"August 22, 1970",Bread,"""Make It with You"""
241,"August 29, 1970",Edwin Starr,"""War"""
242,"September 19, 1970",Diana Ross,"""Ain't No Mountain High Enough"""
243,"October 10, 1970",Neil Diamond,"""Cracklin' Rosie"""
244,"October 17, 1970",The Jackson 5,"""I'll Be There"""
245,"November 21, 1970",The Partridge Family,"""I Think I Love You"""
246,"December 12, 1970",Smokey Robinson & the Miracles,"""The Tears of a Clown"""
247,"December 26, 1970",George Harrison,"""My Sweet Lord"" / ""Isn't It a Pity"""
248,"January 23, 1971",Tony Orlando and Dawn,"""Knock Three Times"""
249,"February 13, 1971",The Osmonds,"""One Bad Apple"""
250,"March 20, 1971",Janis Joplin,"""Me and Bobby McGee"""
251,"April 3, 1971",The Temptations,"""Just My Imagination (Running Away with Me)"""
252,"April 17, 1971",Three Dog Night,"""Joy to the World""♪(1971)"
253,"May 29, 1971",The Rolling Stones,"""Brown Sugar"""
254,"June 12, 1971",The Honey Cone,"""Want Ads"""
255,"June 19, 1971",Carole King,"""It's Too Late"" / ""I Feel the Earth Move"""
256,"July 24, 1971",Paul Revere & the Raiders,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)"""
257,"July 31, 1971",James Taylor,"""You've Got a Friend"""
258,"August 7, 1971",Bee Gees,"""How Can You Mend a Broken Heart"""
259,"September 4, 1971",Paul McCartneyandLinda McCartney,"""Uncle Albert/Admiral Halsey"""
260,"September 11, 1971",Donny Osmond,"""Go Away Little Girl"""
261,"October 2, 1971",Rod Stewart,"""Maggie May"" / ""Reason to Believe"""
262,"November 6, 1971",Cher,"""Gypsys, Tramps & Thieves"""
263,"November 20, 1971",Isaac Hayes,"""Theme fromShaft"""
264,"December 4, 1971",Sly and the Family Stone,"""Family Affair"""
265,"December 25, 1971",Melanie,"""Brand New Key"""
266,"January 15, 1972",Don McLean,"""American Pie"""
267,"February 12, 1972",Al Green,"""Let's Stay Together"""
268,"February 19, 1972",Nilsson,"""Without You"""
269,"March 18, 1972",Neil Young,"""Heart of Gold"""
270,"March 25, 1972",America,"""A Horse with No Name"""
271,"April 15, 1972",Roberta Flack,"""The First Time Ever I Saw Your Face""♪(1972)"
272,"May 27, 1972",The Chi-Lites,"""Oh Girl"""
273,"June 3, 1972",The Staple Singers,"""I'll Take You There"""
274,"June 10, 1972",Sammy Davis Jr.,"""Candy Man"""
275,"July 1, 1972",Neil Diamond,"""Song Sung Blue"""
276,"July 8, 1972",Bill Withers,"""Lean On Me"""
277,"July 29, 1972",Gilbert O'Sullivan,"""Alone Again (Naturally)"""
278,"August 26, 1972",Looking Glass,"""Brandy (You're a Fine Girl)"""
279,"September 16, 1972",Three Dog Night,"""Black and White"""
